"EISContestID","ContestName","Category"
100.00,"Amendment - Victims Bill of Rights","Ballot Question"
101.00,"Amendment - Voters Rights","Ballot Question"
110.00,"Advisory - Minimum Wage","Ballot Question"
111.00,"Advisory - Health Insurance","Ballot Question"
112.00,"Advisory - Millionaire Tax","Ballot Question"
150.00,"US Senator","Statewide"
180.00,"Governor / Lt. Gov","Statewide"
190.00,"Attorney General","Statewide"
200.00,"Secretary of State","Statewide"
210.00,"Comptroller","Statewide"
220.00,"State Treasurer","Statewide"
250.00,"Congress - 1st","Congress"
260.00,"Congress - 2nd","Congress"
270.00,"Congress - 3rd","Congress"
280.00,"Congress - 4th","Congress"
290.00,"Congress - 5th","Congress"
300.00,"Congress - 6th","Congress"
310.00,"Congress - 7th","Congress"
320.00,"Congress - 8th","Congress"
330.00,"Congress - 9th","Congress"
340.00,"Congress - 10th","Congress"
350.00,"Congress - 11th","Congress"
360.00,"Congress - 12th","Congress"
370.00,"Congress - 13th","Congress"
380.00,"Congress - 14th","Congress"
390.00,"Congress - 15th","Congress"
400.00,"Congress - 16th","Congress"
410.00,"Congress - 17th","Congress"
420.00,"Congress - 18th","Congress"
810.00,"State Senator - 3rd","State Senate"
840.00,"State Senator - 6th","State Senate"
870.00,"State Senator - 9th","State Senate"
900.00,"State Senator - 12th","State Senate"
930.00,"State Senator - 15th","State Senate"
960.00,"State Senator - 18th","State Senate"
990.00,"State Senator - 21st","State Senate"
1020.00,"State Senator - 24th","State Senate"
1050.00,"State Senator - 27th","State Senate"
1080.00,"State Senator - 30th","State Senate"
1110.00,"State Senator - 33rd","State Senate"
1140.00,"State Senator - 36th","State Senate"
1170.00,"State Senator - 39th","State Senate"
1200.00,"State Senator - 42nd","State Senate"
1230.00,"State Senator - 45th","State Senate"
1260.00,"State Senator - 48th","State Senate"
1290.00,"State Senator - 51st","State Senate"
1320.00,"State Senator - 54th","State Senate"
1350.00,"State Senator - 57th","State Senate"
1380.00,"State Representative - 1st","State Representative"
